site,timeslice,temperature,proxy,lat,lon,mlat,mlon,plat,plon,5,50,95,sd,mean minus reported error,mean plus reported error,deepmip lower error,deepmip upper error,min,max,v1,v2,v3,v4,v5,v6
dsdp 401,lp,sst,del18O,47.43,-8.81,46.29,-9.73,35.93,-3.7,14.95,17.09,20.23,1.82,-999.9,-999.9,14.95,20.23,14.77,20.99,1,1,1,1,1,1
dsdp 401,lp,sst,mgca,47.43,-8.81,46.29,-9.73,35.93,-3.7,24.91,28.31,29.04,0.36,-999.9,-999.9,24.91,29.04,24.24,31.59,1,1,1,1,1,1
dsdp 401,petm,sst,del18O,47.43,-8.81,46.29,-9.73,35.93,-3.7,18.26,21.6,23.93,1.89,-999.9,-999.9,18.26,23.93,18.19,24.06,1,1,1,1,1,1
dsdp 401,petm,sst,del18O,47.43,-8.81,46.29,-9.73,35.93,-3.7,18.26,21.6,23.93,1.89,-999.9,-999.9,18.26,23.93,18.19,24.06,1,1,1,1,1,1
dsdp 401,petm,sst,mgca,47.43,-8.81,46.29,-9.73,35.93,-3.7,22.9,28.17,31.56,0.5,-999.9,-999.9,22.9,31.56,21.99,33.49,1,1,1,1,1,1
dsdp 527,lp,sst,del18O,-24.04,1.76,-27.19,-8.98,-37.56,-3.42,14.79,15.58,16.54,0.8,-999.9,-999.9,14.79,16.54,12.68,16.9,1,0,1,1,1,1
dsdp 527,lp,sst,mgca,-24.04,1.76,-27.19,-8.98,-37.56,-3.42,24.98,28.36,31.63,0.65,-999.9,-999.9,24.98,31.63,24.03,33.23,1,1,1,1,1,1
dsdp 527,petm,sst,del18O,-24.04,1.76,-27.19,-8.98,-37.56,-3.42,18.52,19.22,20.26,0.66,-999.9,-999.9,18.52,20.26,18.5,20.74,1,0,1,1,1,1
dsdp 527,petm,sst,mgca,-24.04,1.76,-27.19,-8.98,-37.56,-3.42,23.59,29.01,34.25,1.03,-999.9,-999.9,23.59,34.25,22.32,36.4,1,1,1,1,1,1
dsdp 549,lp,sst,del18O,49.08,-13.98,47.9,-13.97,37.58,-7.27,20.53,21.79,23.42,1.67,-999.9,-999.9,20.53,23.42,20.44,23.66,1,0,1,1,1,1
dsdp 549,petm,sst,del18O,49.08,-13.98,47.9,-13.97,37.58,-7.27,20.16,22.36,25.89,1.98,-999.9,-999.9,20.16,25.89,19.77,26.79,1,0,1,1,1,1
dsdp 577,eeco,sst,del18O,32.26,157.43,21.21,-170.47,30.31,-163.3,15.98,17.81,19.35,0.99,-999.9,-999.9,15.98,19.35,15.1,19.85,1,0,1,1,1,1
dsdp 577,lp,sst,del18O,32.26,157.43,19.26,-168.72,29.03,-161.42,16.85,18.09,18.87,0.69,-999.9,-999.9,16.85,18.87,16.29,19.4,1,0,1,1,1,1
Ellesmere Island,eeco,lat,del18o,78.8,-82,78.89,-35.26,69.29,-20.05,-999.9,4,-999.9,-999.9,-1.5,9.5,-1.5,9.5,-999.9,-999.9,1,1,1,1,0,1
Faddeevsky Island,petm,lat,ca,76,141.8,75.82,124,79.42,83.56,18.06,18.8,20.52,1.1,16,22.1,16,22.1,-999.9,-999.9,1,1,1,1,1,1
Falkland,eeco,lat,lma,50.5,-119.6,56.19,-105.57,55.23,-85.73,-999.9,8.9,-999.9,-999.9,5.3,12.5,5.3,12.5,-999.9,-999.9,1,1,1,1,1,1
Fiona Hill,eeco,lat,mbtcbt,39.1,-120.85,44.88,-108.23,44.8,-93.08,-999.9,12.5,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
fur,lp,lat,mbtcbt,56.84,8.99,55.99,7.27,45.89,10.01,16.18,17.6,18.88,1.51,16.37,18.83,16.37,18.83,16,19,1,1,1,0,1,1
fur,lp,sst,tex86,56.84,8.99,55.99,7.27,45.89,10.01,8.32,15.07,20.73,0.9,-999.9,-999.9,8.32,20.73,7.62,21.34,1,1,0,1,1,1
fur,petm,lat,mbtcbt,56.8,9,55.99,7.27,45.9,10.01,18.45,20.98,23.4,2.07,19.09,20.7,19.09,20.7,17.9,23.5,1,1,1,0,1,1
fur,petm,sst,tex86,56.84,8.99,55.99,7.27,45.89,10.01,24.72,30.67,38.53,2.14,-999.9,-999.9,24.72,38.53,23.07,41.79,1,1,0,1,1,1
Gold Bug,eeco,lat,mbtcbt,39.37,-120.92,45.15,-108.28,45.08,-93.04,-999.9,17.3,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
Green River Basin,eeco,lat,del18O,42.3,-108.5,47.34,-94.4,44.86,-79.12,-999.9,15.5,-999.9,-999.9,10,21,10,21,-999.9,-999.9,1,1,1,1,0,1
Green River Basin,eeco,lat,del18O,42.3,-108.5,47.34,-94.4,44.86,-79.12,-999.9,12,-999.9,-999.9,8.9,15.1,8.9,15.1,8,16,1,1,1,1,0,1
Green River Basin,eeco,lat,del47,42.24,-108.53,47.34,-94.4,44.86,-79.12,-999.9,27.1,-999.9,-999.9,23.8,30.4,23.8,30.4,-999.9,-999.9,1,1,1,1,1,1
gsb kester borehole,eeco,sst,del47,50.76,4.12,49.58,2.7,39.95,5.32,-999.9,20,-999.9,-999.9,17.6,22.5,17.6,22.5,-999.9,-999.9,1,1,1,1,1,1
Gulf Coastal Plain USA,eeco,lat,mbtcbt,31.66,-88.1,35.07,-74.29,29.76,-63.71,-999.9,21.3,-999.9,-999.9,16.3,26.3,16.3,26.3,-999.9,-999.9,1,1,1,0,1,1
Gurha Mine,eeco,lat,clamp,27.9,72.9,4.38,64.46,2.28,69.09,-999.9,24.3,-999.9,-999.9,21.4,27.1,21.4,27.1,-999.9,-999.9,1,1,1,1,1,1
hampden beach,eeco,sst,del18O,-45.32,107.83,-57.05,-162.78,-48.22,-163.7,18.07,18.77,19.54,0.65,-999.9,-999.9,18.07,19.54,17.96,19.63,1,1,1,1,1,0
